level,year,n_events,n_coinc_all,n_coinc_ge2,mean_stations_all,max_stations_all,mean_stations_ge2,max_stations_ge2
strict,2018,118,89,10,1.1123595505617978,2,2.0,2
strict,2019,119,90,15,1.1666666666666667,2,2.0,2
strict,2020,105,85,3,1.035294117647059,2,2.0,2
strict,2021,294,139,24,1.1942446043165467,3,2.125,3
strict,2022,146,107,20,1.205607476635514,3,2.1,3
strict,2023,191,135,22,1.2,3,2.227272727272727,3
strict,2024,240,156,50,1.3717948717948718,3,2.16,3
strict,2025,193,118,31,1.347457627118644,3,2.3225806451612905,3
medium,2018,819,328,192,2.0091463414634148,6,2.7239583333333335,6
medium,2019,752,308,170,1.9350649350649352,6,2.6941176470588237,6
medium,2020,801,312,184,2.0096153846153846,6,2.7119565217391304,6
medium,2021,1078,320,212,2.25,6,2.8867924528301887,6
medium,2022,1072,334,217,2.2784431137724552,6,2.967741935483871,6
medium,2023,1412,357,276,2.6470588235294117,8,3.130434782608696,8
medium,2024,1578,361,279,2.8421052631578947,8,3.3835125448028673,8
medium,2025,1327,307,234,2.807817589576547,8,3.371794871794872,8
loose,2018,1942,381,325,3.404199475065617,9,3.8184615384615386,9
loose,2019,1788,382,329,3.141361256544503,9,3.486322188449848,9
loose,2020,1858,385,315,3.2,8,3.688888888888889,8
loose,2021,2147,371,320,3.4797843665768196,9,3.875,9
loose,2022,2328,379,329,3.6226912928759893,9,4.0212765957446805,9
loose,2023,2907,377,349,4.1697612732095495,10,4.4240687679083095,10
loose,2024,3010,377,341,4.241379310344827,10,4.583577712609971,10
loose,2025,2600,330,293,4.2303030303030305,9,4.638225255972697,9
